Date,Open,High,Low,Close
20200901,1467.86,1475.8,1462.48,1466.22
20200902,1471.84,1472.23,1447.29,1455.94
20200903,1453.71,1458.54,1435.65,1439.2
20200904,1414.55,1440.26,1414.55,1438.15
20200907,1434.57,1445.82,1395.54,1399.11
20200908,1398.9,1398.9,1368.36,1384.11
20200909,1368.41,1368.41,1323.07,1332.41
20200910,1347.46,1356.41,1312.24,1318.07
20200911,1318.59,1351.07,1314.54,1351.07
20200914,1376.88,1407.64,1376.06,1386.53
20200915,1387.22,1411.65,1372.57,1404.26
20200916,1400.04,1403.87,1377.59,1383.3
20200917,1379.61,1429.11,1373.08,1419.78
20200918,1420.88,1438.64,1417.8,1438.64
20200921,1442.9,1446.82,1425.77,1429.38
20200922,1419.2,1434.02,1410.75,1418.88
20200923,1431.04,1465.59,1431.04,1451.95
20200924,1438.26,1438.54,1417.92,1420.41
20200925,1426.78,1426.78,1385.33,1387.5
20200928,1389.0,1389.0,1359.63,1361.63
20200929,1370.52,1420.55,1370.52,1407.15
20200930,1411.08,1438.39,1411.08,1425.87
20201009,1455.14,1473.2,1455.14,1472.37
20201012,1481.72,1512.12,1481.72,1511.66
20201013,1508.28,1512.88,1501.96,1512.0
20201014,1509.21,1509.21,1488.97,1492.9
20201015,1492.66,1495.09,1462.48,1463.18
20201016,1474.73,1474.73,1441.55,1452.13
20201019,1458.24,1458.24,1437.93,1438.4
20201020,1432.09,1437.95,1412.88,1437.95
20201021,1437.17,1437.17,1407.18,1408.24
20201022,1404.59,1404.59,1389.01,1389.01
20201023,1390.67,1395.37,1347.97,1347.97
20201026,1342.18,1366.95,1326.38,1363.38
20201027,1365.09,1392.89,1365.09,1392.89
20201028,1400.8,1410.31,1392.94,1404.3
20201029,1389.3,1418.31,1389.3,1411.71
20201030,1418.98,1442.92,1401.11,1401.11
20201102,1411.39,1413.43,1373.77,1402.92
20201103,1406.83,1452.86,1406.83,1451.27
20201104,1456.16,1456.16,1443.19,1450.9
20201105,1475.67,1475.67,1451.9,1469.64
20201106,1473.64,1473.64,1437.16,1446.28
20201109,1459.02,1514.37,1459.02,1504.71
20201110,1498.08,1498.08,1464.05,1465.23
20201111,1462.25,1462.25,1407.76,1407.76
20201112,1421.06,1430.95,1414.36,1416.89
20201113,1409.69,1435.54,1402.11,1432.77
20201116,1481.22,1481.22,1432.23,1433.08
20201117,1440.31,1440.31,1405.25,1417.91
20201118,1417.72,1426.18,1408.62,1412.3
20201119,1406.5,1428.76,1404.2,1428.34
20201120,1426.76,1429.1,1419.41,1421.4
20201123,1420.58,1420.58,1400.5,1410.67
20201124,1404.16,1420.14,1404.16,1410.23
20201125,1413.24,1414.33,1394.52,1394.6
20201126,1393.74,1406.61,1388.52,1391.14
20201127,1391.24,1405.33,1389.55,1396.95
20201130,1405.17,1415.83,1398.8,1403.85
20201201,1404.71,1428.3,1404.71,1425.69
20201202,1431.52,1449.26,1431.52,1443.46
20201203,1443.83,1454.66,1436.06,1445.39
20201204,1442.19,1444.22,1431.7,1437.96
20201207,1453.56,1456.39,1439.51,1441.38
20201208,1440.16,1443.34,1435.66,1436.42
20201209,1436.38,1436.38,1406.11,1406.11
20201210,1403.3,1424.16,1403.3,1416.85
20201211,1417.94,1425.36,1407.98,1422.54
20201214,1424.82,1440.44,1418.28,1436.39
20201215,1437.06,1445.68,1426.61,1432.21
20201216,1427.51,1427.51,1412.58,1413.49
20201217,1413.17,1430.24,1407.06,1429.89
20201218,1446.3,1446.3,1426.14,1428.43
20201221,1428.3,1457.45,1428.3,1457.08
20201222,1452.9,1462.64,1435.48,1437.26
20201223,1437.03,1449.9,1434.8,1449.9
20201224,1451.5,1453.52,1420.36,1420.36
20201225,1419.69,1429.26,1415.96,1426.72
20201228,1424.0,1424.0,1407.54,1410.88
20201229,1410.59,1422.17,1405.54,1405.55
20201230,1404.73,1432.26,1404.73,1426.44
20201231,1432.52,1471.39,1432.52,1471.29
20210104,1475.49,1503.17,1473.56,1501.69
20210105,1493.17,1508.91,1493.17,1507.78
20210106,1511.99,1513.49,1491.37,1494.6
20210107,1493.74,1493.74,1439.3,1449.15
20210108,1449.65,1453.08,1434.69,1443.65
20210111,1450.13,1471.61,1444.04,1454.11
20210112,1453.94,1465.15,1449.28,1463.91
20210113,1469.89,1469.89,1447.74,1460.9
20210114,1457.7,1534.95,1457.7,1507.27
20210115,1508.65,1522.93,1497.16,1509.01
20210118,1506.23,1557.4,1502.94,1544.39
20210119,1544.47,1544.47,1512.02,1512.02
20210120,1519.45,1548.88,1518.63,1548.88
20210121,1554.43,1574.69,1548.62,1568.09
20210122,1565.57,1579.87,1547.82,1579.3
20210125,1576.19,1606.06,1567.87,1593.27
20210126,1592.94,1597.31,1566.39,1570.63
20210127,1572.74,1572.74,1530.86,1540.8
20210128,1522.08,1546.13,1504.95,1504.95
20210129,1518.66,1519.93,1482.25,1504.43
20210201,1499.48,1515.88,1495.82,1503.5
20210202,1505.77,1515.75,1499.74,1515.75
20210203,1512.51,1518.91,1490.13,1490.13
20210204,1481.92,1481.92,1444.46,1471.35
20210205,1472.14,1487.13,1449.65,1449.65
20210208,1451.77,1465.55,1447.77,1459.58
20210209,1463.45,1511.92,1463.45,1511.69
20210210,1508.85,1530.24,1501.79,1529.33
20210218,1548.12,1548.12,1520.37,1520.72
20210219,1515.07,1519.1,1494.5,1518.6
20210222,1522.31,1525.24,1475.71,1476.19
20210223,1459.4,1488.95,1459.4,1476.2
20210224,1479.62,1479.62,1441.64,1446.93
20210225,1457.25,1457.25,1440.58,1440.96
20210226,1409.75,1428.71,1409.75,1421.58
20210301,1436.8,1455.26,1435.32,1455.23
20210302,1467.0,1467.0,1441.72,1448.88
20210303,1445.68,1456.86,1439.25,1456.86
20210304,1453.13,1453.13,1418.64,1419.26
20210305,1398.29,1430.24,1398.29,1423.11
20210308,1430.99,1432.03,1372.11,1372.11
20210309,1369.89,1369.89,1319.86,1326.85
20210310,1348.9,1349.6,1329.93,1336.4
20210311,1341.51,1375.44,1332.73,1370.14
20210312,1371.46,1371.46,1354.87,1356.19
20210315,1348.91,1348.91,1305.11,1314.0
20210316,1315.28,1321.11,1303.73,1314.17
20210317,1313.38,1331.71,1307.92,1331.26
20210318,1335.57,1349.42,1335.57,1340.74
20210319,1326.65,1342.99,1324.55,1331.29
20210322,1329.63,1348.26,1329.63,1346.26
20210323,1350.46,1353.11,1331.8,1334.1
20210324,1326.86,1342.94,1317.87,1319.1
20210325,1309.81,1328.42,1307.5,1316.64
20210326,1321.5,1354.42,1321.5,1353.51
20210329,1358.5,1358.7,1346.92,1347.55
20210330,1345.76,1356.9,1343.15,1345.2
20210331,1344.27,1349.82,1334.29,1345.21
20210401,1346.35,1365.56,1346.35,1362.22
20210402,1369.76,1396.64,1369.76,1394.61
20210406,1398.74,1398.74,1387.43,1391.34
20210407,1390.76,1391.67,1377.56,1390.37
20210408,1386.57,1396.17,1379.83,1387.61
20210409,1385.44,1388.63,1364.7,1365.08
20210412,1362.42,1370.16,1333.35,1335.87
20210413,1337.02,1352.94,1336.54,1337.68
20210414,1339.11,1352.37,1339.11,1349.47
20210415,1345.64,1355.28,1338.56,1355.28
20210416,1356.7,1373.72,1350.0,1370.51
20210419,1368.94,1401.64,1368.94,1400.53
20210420,1397.42,1403.68,1391.12,1391.12
20210421,1384.22,1396.47,1379.07,1391.83
20210422,1392.94,1411.93,1392.94,1411.18
20210423,1408.66,1424.87,1408.66,1418.04
