Date,Open,High,Low,Close
20200901,4605.65,4619.73,4576.03,4619.73
20200902,4629.71,4633.61,4577.37,4615.78
20200903,4625.86,4649.92,4596.14,4608.7
20200904,4552.93,4600.85,4538.03,4595.51
20200907,4592.24,4632.39,4534.69,4542.95
20200908,4548.49,4575.76,4518.37,4569.35
20200909,4536.96,4555.49,4484.02,4500.09
20200910,4532.2,4538.37,4451.19,4458.3
20200911,4442.36,4481.34,4427.36,4476.86
20200914,4491.06,4501.94,4467.36,4496.22
20200915,4494.87,4516.97,4480.08,4516.89
20200916,4514.21,4533.87,4496.71,4515.31
20200917,4512.69,4553.58,4495.76,4532.7
20200918,4534.65,4603.79,4523.56,4602.24
20200921,4612.05,4612.58,4564.09,4574.17
20200922,4535.77,4563.0,4498.75,4508.26
20200923,4523.49,4532.75,4503.63,4514.73
20200924,4494.33,4494.9,4426.37,4429.38
20200925,4437.64,4448.25,4386.73,4403.59
20200928,4413.51,4426.18,4395.7,4399.77
20200929,4414.27,4441.54,4403.67,4417.63
20200930,4428.58,4437.21,4378.86,4395.75
20201009,4451.65,4502.18,4450.49,4492.47
20201012,4514.73,4604.48,4514.39,4603.85
20201013,4599.02,4617.21,4584.49,4612.96
20201014,4615.68,4618.5,4596.78,4612.21
20201015,4606.31,4609.69,4584.44,4593.67
20201016,4590.01,4619.37,4587.91,4605.44
20201019,4625.35,4651.62,4566.47,4572.35
20201020,4561.45,4576.84,4542.42,4576.7
20201021,4577.74,4578.99,4536.19,4561.58
20201022,4547.26,4547.49,4512.94,4524.95
20201023,4526.94,4549.48,4482.17,4488.64
20201026,4487.65,4498.45,4448.48,4495.54
20201027,4479.36,4482.99,4454.69,4479.05
20201028,4479.6,4484.63,4432.5,4478.58
20201029,4435.59,4517.67,4428.84,4502.06
20201030,4508.89,4514.07,4429.25,4433.77
20201102,4433.92,4479.57,4426.11,4476.99
20201103,4500.14,4534.85,4495.71,4532.88
20201104,4543.67,4576.38,4522.81,4558.12
20201105,4584.97,4640.7,4582.56,4636.84
20201106,4638.58,4646.72,4613.77,4644.21
20201109,4670.77,4725.34,4670.77,4720.27
20201110,4734.66,4736.64,4686.5,4705.11
20201111,4693.94,4756.82,4692.99,4726.29
20201112,4728.32,4752.84,4716.9,4752.84
20201113,4742.08,4742.86,4679.19,4721.19
20201116,4736.52,4821.38,4736.52,4819.83
20201117,4823.88,4852.36,4811.3,4852.26
20201118,4843.84,4877.66,4831.93,4870.9
20201119,4861.79,4864.21,4824.03,4850.43
20201120,4845.73,4875.42,4823.27,4875.34
20201123,4882.24,4969.4,4879.08,4943.56
20201124,4935.59,4936.91,4905.62,4924.32
20201125,4940.97,4947.13,4856.13,4856.13
20201126,4853.22,4858.28,4801.9,4837.0
20201127,4852.1,4871.61,4814.8,4871.06
20201130,4879.1,4911.51,4817.82,4817.82
20201201,4823.24,4888.91,4807.33,4883.22
20201202,4889.71,4905.53,4869.52,4891.28
20201203,4889.28,4889.28,4834.4,4856.7
20201204,4855.24,4855.64,4811.57,4849.95
20201207,4858.92,4869.01,4800.94,4800.94
20201208,4807.49,4818.29,4770.57,4786.76
20201209,4796.22,4801.93,4727.48,4727.48
20201210,4727.9,4753.49,4717.28,4735.41
20201211,4751.49,4754.22,4626.83,4706.94
20201214,4693.69,4698.35,4654.95,4674.22
20201215,4674.87,4674.87,4631.17,4664.9
20201216,4660.92,4668.5,4631.87,4645.77
20201217,4641.71,4695.07,4603.88,4692.57
20201218,4702.06,4735.8,4698.88,4713.29
20201221,4722.3,4742.1,4684.05,4728.49
20201222,4709.21,4709.21,4613.8,4620.27
20201223,4620.33,4649.58,4608.64,4622.76
20201224,4624.0,4624.0,4567.72,4580.11
20201225,4570.49,4632.08,4552.82,4612.86
20201228,4617.36,4619.96,4570.93,4582.14
20201229,4583.38,4592.69,4540.31,4543.63
20201230,4542.76,4580.64,4534.03,4562.0
20201231,4562.33,4599.76,4562.15,4595.59
20210104,4595.07,4620.88,4571.45,4611.31
20210105,4602.01,4622.88,4561.45,4621.52
20210106,4631.65,4646.67,4596.97,4632.2
20210107,4639.79,4641.68,4566.64,4600.77
20210108,4598.97,4632.0,4560.62,4614.18
20210111,4610.17,4622.93,4553.57,4562.99
20210112,4551.14,4600.79,4548.31,4600.21
20210113,4600.13,4605.58,4567.2,4593.39
20210114,4575.95,4600.7,4558.94,4576.91
20210115,4582.57,4614.64,4571.72,4603.72
20210118,4602.6,4644.21,4597.68,4638.68
20210119,4633.34,4693.33,4620.12,4663.32
20210120,4656.49,4669.5,4633.86,4656.54
20210121,4655.1,4693.92,4643.44,4676.95
20210122,4669.12,4669.12,4611.2,4626.21
20210125,4611.34,4611.34,4553.12,4559.48
20210126,4549.51,4566.71,4520.25,4530.27
20210127,4528.15,4560.99,4525.76,4533.91
20210128,4503.54,4507.58,4461.47,4469.68
20210129,4483.41,4490.79,4398.15,4431.62
20210201,4425.19,4484.57,4413.93,4482.1
20210202,4485.96,4513.85,4481.69,4512.33
20210203,4510.37,4511.66,4461.49,4475.74
20210204,4463.46,4463.46,4391.59,4431.3
20210205,4432.6,4474.69,4429.54,4447.25
20210208,4454.17,4501.09,4442.01,4492.18
20210209,4493.91,4551.76,4484.66,4548.47
20210210,4559.39,4588.41,4546.7,4581.27
20210218,4648.85,4698.36,4648.85,4692.45
20210219,4685.92,4776.32,4676.32,4774.45
20210222,4788.09,4909.25,4788.09,4826.08
20210223,4815.18,4828.94,4777.86,4789.96
