Date,Open,High,Low,Close
20200901,4803.39,4842.14,4791.78,4842.12
20200902,4859.08,4863.55,4797.52,4843.89
20200903,4841.5,4877.01,4800.06,4817.1
20200904,4737.24,4778.2,4726.56,4770.22
20200907,4759.52,4789.3,4655.56,4669.37
20200908,4683.83,4707.9,4639.05,4694.39
20200909,4634.25,4645.2,4558.03,4584.59
20200910,4632.1,4647.75,4572.21,4581.98
20200911,4572.26,4630.88,4563.11,4627.28
20200914,4652.05,4666.99,4625.99,4651.05
20200915,4649.45,4691.5,4630.54,4688.48
20200916,4683.01,4690.68,4638.46,4657.36
20200917,4642.05,4664.95,4601.64,4632.71
20200918,4636.64,4737.8,4631.7,4737.09
20200921,4750.75,4752.98,4688.72,4691.43
20200922,4654.22,4706.21,4622.11,4635.76
20200923,4639.66,4665.96,4623.55,4652.33
20200924,4623.95,4631.95,4562.21,4563.07
20200925,4582.48,4599.54,4554.72,4570.02
20200928,4582.65,4613.63,4571.15,4581.91
20200929,4608.29,4616.68,4586.35,4591.8
20200930,4607.58,4634.72,4563.41,4587.4
20201009,4663.61,4695.4,4655.09,4681.14
20201012,4705.19,4823.27,4704.16,4823.16
20201013,4812.9,4845.92,4795.37,4839.2
20201014,4830.46,4830.46,4795.91,4807.1
20201015,4810.78,4833.89,4796.26,4798.74
20201016,4798.92,4825.55,4765.97,4791.68
20201019,4823.49,4849.61,4747.34,4755.49
20201020,4751.37,4793.47,4739.46,4793.47
20201021,4801.63,4801.63,4758.86,4792.83
20201022,4780.6,4791.81,4725.5,4777.98
20201023,4775.47,4802.46,4717.1,4718.49
20201026,4684.05,4713.39,4639.3,4691.24
20201027,4680.14,4708.46,4671.85,4699.28
20201028,4703.0,4753.31,4685.6,4737.27
20201029,4683.61,4803.03,4679.25,4772.92
20201030,4776.47,4778.51,4683.47,4695.33
20201102,4702.75,4738.02,4695.44,4720.83
20201103,4743.17,4793.4,4734.17,4777.56
20201104,4781.45,4825.46,4770.56,4813.66
20201105,4861.34,4885.11,4838.0,4885.11
20201106,4897.63,4897.63,4845.43,4885.72
20201109,4918.86,4997.8,4918.86,4981.35
20201110,4995.41,4995.41,4928.93,4953.88
20201111,4937.76,4957.58,4901.71,4904.9
20201112,4916.77,4926.34,4891.51,4908.46
20201113,4886.98,4886.98,4825.76,4856.85
20201116,4880.96,4904.17,4848.62,4904.17
20201117,4903.12,4909.29,4865.39,4894.79
20201118,4889.67,4911.09,4870.72,4891.67
20201119,4880.92,4939.79,4870.2,4927.99
20201120,4928.22,4947.43,4922.59,4943.29
20201123,4954.6,5029.65,4940.45,5005.03
20201124,4997.05,5001.06,4960.98,4974.29
20201125,4992.75,5004.77,4910.7,4910.7
20201126,4908.32,4925.29,4867.82,4919.59
20201127,4930.59,4980.77,4917.35,4980.77
20201130,4994.11,5055.19,4960.25,4960.25
20201201,4963.13,5072.55,4963.13,5067.1
20201202,5072.98,5090.61,5043.31,5067.14
20201203,5065.45,5072.3,5033.79,5057.06
20201204,5049.52,5072.39,5017.85,5065.92
20201207,5065.73,5067.87,5014.61,5022.24
20201208,5029.11,5043.06,4998.92,5009.88
20201209,5022.38,5033.64,4942.52,4942.7
20201210,4931.29,4962.74,4919.77,4940.52
20201211,4957.82,4957.82,4849.35,4889.63
20201214,4903.63,4937.26,4887.66,4934.84
20201215,4931.6,4954.19,4904.79,4945.1
20201216,4957.3,4968.86,4938.19,4953.87
20201217,4960.73,5021.62,4950.37,5017.48
20201218,5014.32,5027.44,4979.01,4999.97
20201221,4995.76,5048.51,4970.0,5046.84
20201222,5034.98,5055.13,4960.95,4964.77
20201223,4977.3,5028.45,4968.15,5007.12
20201224,5006.01,5033.04,4979.24,5000.02
20201225,4985.77,5042.1,4973.68,5042.01
20201228,5042.94,5089.34,5037.86,5064.41
20201229,5071.45,5077.42,5034.31,5042.94
20201230,5037.98,5113.71,5036.63,5113.71
20201231,5122.48,5215.62,5122.48,5211.29
20210104,5212.93,5284.43,5190.94,5267.72
20210105,5245.84,5368.5,5234.38,5368.5
20210106,5386.51,5433.47,5341.43,5417.67
20210107,5428.39,5513.66,5413.35,5513.66
20210108,5526.29,5547.47,5442.69,5495.43
20210111,5504.24,5555.69,5412.5,5441.16
20210112,5419.5,5596.35,5417.63,5596.35
20210113,5609.26,5644.72,5535.14,5577.97
20210114,5556.21,5568.02,5458.68,5470.46
20210115,5471.39,5500.63,5390.27,5458.08
20210118,5438.16,5541.46,5410.78,5518.52
20210119,5525.97,5532.48,5415.72,5437.52
20210120,5439.91,5496.05,5426.54,5476.43
20210121,5492.96,5593.11,5490.56,5564.97
20210122,5562.38,5573.66,5513.88,5569.78
20210125,5564.12,5655.48,5543.27,5625.92
20210126,5600.9,5600.9,5506.0,5512.97
20210127,5505.77,5534.99,5449.64,5528.0
20210128,5450.37,5462.24,5360.38,5377.14
20210129,5413.97,5430.2,5288.1,5351.96
20210201,5356.85,5422.3,5342.05,5417.65
20210202,5429.7,5503.21,5411.52,5501.09
20210203,5499.3,5532.89,5473.12,5485.2
20210204,5453.98,5510.05,5411.57,5473.95
20210205,5494.7,5550.77,5477.65,5483.41
20210208,5506.14,5576.49,5479.85,5564.56
20210209,5584.17,5686.25,5555.05,5686.25
20210210,5709.68,5823.42,5707.33,5807.72
20210218,5922.07,5930.91,5747.66,5768.38
20210219,5734.02,5787.89,5667.32,5778.84
20210222,5785.51,5785.51,5597.33,5597.33
20210223,5542.68,5644.76,5541.11,5579.67
20210224,5591.48,5598.83,5379.73,5437.57
20210225,5494.47,5527.63,5444.16,5469.56
20210226,5343.9,5416.32,5318.86,5336.76
20210301,5389.25,5421.56,5345.94,5418.78
20210302,5453.28,5454.97,5305.05,5349.63
20210303,5327.35,5452.4,5316.48,5452.21
20210304,5388.48,5392.37,5254.78,5280.71
20210305,5191.97,5307.82,5174.25,5262.8
20210308,5299.79,5326.26,5079.8,5080.02
20210309,5066.15,5094.31,4917.91,4971.0
20210310,5047.06,5055.28,4981.62,5003.61
20210311,5024.56,5138.41,5020.58,5128.22
20210312,5153.67,5153.67,5086.82,5146.38
20210315,5116.12,5120.88,4992.4,5035.54
20210316,5054.41,5084.31,5009.95,5079.36
20210317,5062.77,5123.55,5020.13,5100.86
20210318,5114.59,5160.46,5111.13,5141.77
20210319,5068.53,5089.92,4980.76,5007.09
20210322,5008.4,5071.34,4996.54,5057.15
20210323,5057.06,5064.02,4966.53,5009.25
20210324,4985.4,5024.33,4919.89,4928.69
